"","dyad_name","gender","GES_score","age","language","parent","experience","regular_contact","ID","id_in_group","stim_category","stim_number","time","soundLevel","startSound","RT","RT_from_onset","position","response"
"87","HARDIER BLOND CRAB","Male",2.52,26,"Other","No","No","No","1 HARDIER BLOND CRAB",1,"Cries",3,10:31:38,4,48058,0,0,"Right","none"
"88","HARDIER BLOND CRAB","Male",2.52,26,"Other","No","No","No","1 HARDIER BLOND CRAB",1,"Cries",2,10:33:14,4,48057,0,0,"Right","none"
"89","HARDIER BLOND CRAB","Male",2.52,26,"Other","No","No","No","1 HARDIER BLOND CRAB",1,"Cries",4,10:26:07,4,48059,0,0,"Right","none"
"90","HARDIER BLOND CRAB","Male",2.52,26,"Other","No","No","No","1 HARDIER BLOND CRAB",1,"Cries",1,10:28:26,4,48057,0,0,"Right","none"
"91","HARDIER BLOND CRAB","Male",2.52,26,"Other","No","No","No","1 HARDIER BLOND CRAB",1,"Alarm",3,10:37:08,4,48060,0,0,"Right","none"
"92","LIGHTER PINK SEAL","Female",3.72,19,"Other","No","Yes","No","1 LIGHTER PINK SEAL",1,"Cries",1,11:59:10,4,48057,0,0,"Right","none"
"93","LIGHTER PINK SEAL","Female",3.72,19,"Other","No","Yes","No","1 LIGHTER PINK SEAL",1,"Alarm",1,11:56:15,4,48058,0,0,"Right","none"
"94","LIGHTER PINK SEAL","Female",3.72,19,"Other","No","Yes","No","1 LIGHTER PINK SEAL",1,"Cries",4,11:43:57,4,48057,0,0,"Right","none"
"95","LIGHTER PINK SEAL","Female",3.72,19,"Other","No","Yes","No","1 LIGHTER PINK SEAL",1,"Alarm",4,12:00:44,4,48058,0,0,"Right","none"
"96","LIGHTER PINK SEAL","Female",3.72,19,"Other","No","Yes","No","1 LIGHTER PINK SEAL",1,"Cries",3,12:03:47,4,48049,0,0,"Right","none"
"97","LIGHTER PINK SEAL","Female",3.72,19,"Other","No","Yes","No","1 LIGHTER PINK SEAL",1,"Alarm",3,11:53:54,4,48059,0,0,"Right","none"
"98","LIGHTER PINK SEAL","Female",3.72,19,"Other","No","Yes","No","1 LIGHTER PINK SEAL",1,"Cries",2,11:46:55,4,48047,0,0,"Right","none"
"99","LIGHTER PINK SEAL","Female",3.72,19,"Other","No","Yes","No","1 LIGHTER PINK SEAL",1,"Alarm",2,11:51:18,4,48057,0,0,"Right","none"
"100","LOYAL NAVY BADGER","Female",3.2,22,"Other","No","No","No","1 LOYAL NAVY BADGER",1,"Cries",3,14:30:29,0,8,7540,7532,"Left","Left"
"101","LOYAL NAVY BADGER","Female",3.2,22,"Other","No","No","No","1 LOYAL NAVY BADGER",1,"Cries",1,14:32:31,1,12029,15479,3450,"Left","Left"
"102","LOYAL NAVY BADGER","Female",3.2,22,"Other","No","No","No","1 LOYAL NAVY BADGER",1,"Alarm",1,14:27:36,4,48057,0,0,"Left","none"
